#HGNC ID	HGNC symbol
48327	POTEB2
49116	NDE1P2
39963	SMAD9-AS1
39726	LAMTOR3P1
36842	RPL29P28
37924	EIF4A1P5
42619	RN7SKP1
35561	RPS12P24
49042	LINC01048
46625	RN7SL609P
42602	RNA5SP26
35132	HSPD1P9
19008	KLHL11
43721	LINC00571
13088	ZNF299P
42772	LINC00437
39637	MSANTD2P1
42688	LINC00366
48548	RNU2-55P
39266	PRDX3P3
42546	RNU6-56P
5513	IGHD5OR15-5B
39964	FREM2-AS1
39249	PLA2G12AP2
5507	IGHD4OR15-4B
39687	ANKRD26P2
3191	EEF1A1P1
5501	IGHD3OR15-3B
39708	NXT1P1
5494	IGHD2OR15-2B
38301	MIR4305
12411	TUBAP
34064	RNY4P14
39853	CDKN2AIPNLP3
28997	SECISBP2L
49098	AZU1P1
5488	IGHD1OR15-1B
42049	LINC00332
49100	RPL17P51
42493	RNY3P9
42620	RN7SKP2
42770	LINC00598
39682	RLIMP1
35386	MIR320D1
32877	MIR621
42356	TPTE2P5
33734	POTEB
12023	TPTE
115	ACLY
24408	CYCSP34
20513	SUGT1P3
39729	RGS17P1
38249	MIR3168
46613	RN7SL597P
1448	CALM2P3
39257	MORF4L1P4
31833	RAC1P3
42547	RNU6-57P
12415	TUBBP2
8409	OR7E36P
31310	OR7E155P
31001	RAC1P1
8410	OR7E37P
43495	MIR5006
46531	RN7SL515P
42564	RNU6-74P
39207	KARSP1
31695	WBP2P1
36938	RPS28P8
18977	MAPK6PS3
46113	RN7SL97P
49029	CHCHD2P11
39442	FHP1
36745	RPS24P18
25280	TTC25
3558	FABP3P2
2862	DHFRP1
49044	LINC01050
42763	LINC00428
7922	NPM1P2
39443	ZDHHC4P1
19052	FAM60BP
42729	LINC00400
42648	RPL36P19
42397	ENOX1-AS2
42396	ENOX1-AS1
48252	RNU6-1289P
23822	POTED
26981	LINC00284
31087	CIAPIN1P
2158	CNP
26399	AQP4-AS1
39263	DGKZP1
1224	LDLRAD4
42718	LINC00390
42674	SMIM2-AS1
41492	SMIM2-IT1
49111	LINC01071
12392	DNAJC7
39734	SMARCE1P5
18821	LIPI
42739	LINC00407
42047	LINC00330
46065	RN7SL49P
42621	RN7SKP3
42559	RNU6-69P
32621	SNORA31
9897	RBM11
15373	OR4M2
17898	NKIRAS2
15375	OR4N4
43686	TPT1-AS1
5563	IGHV1OR15-1
5658	IGHV4OR15-8
11375	HSPA13
33722	ZNF385C
39204	RCN1P2
42795	SLC25A30-AS1
39270	PPIAP25
42603	RNA5SP27
37444	GOLGA6L1
39930	TIMM9P3
38036	COX4I1P2
49049	LINC01055
423	AKR1B1P4
29517	DHX58
39898	CPB2-AS1
43389	RNA5SP489
46304	RN7SL288P
42623	RN7SKP5
39851	FAM206BP
43707	LINC00563
42506	RNU2-6P
42558	RNU6-68P
30747	COPS2
10528	SAMSN1
16319	PPP1R2P4
4201	KAT2A
15342	OR7E101P
24341	COX17P1
30589	HSPB9
3716	FKBP1AP3
40289	HTR2A-AS1
33554	GNG5P5
46716	RN7SL700P
39738	NAP1L4P3
36544	RPL27AP8
9785	RAB5C
18600	TUBGCP5
42781	LINC00444
43706	LINC00562
39965	SUCLA2-AS1
39213	MED4-AS1
42652	POLR2KP2
42778	LINC00441
42015	PPP1R26P1
41977	PCNPP5
49120	LINC01077
8001	NRIP1
42811	LINC00462
30160	PSME2P2
36169	UBA52P9
42550	RNU6-60P
9809	RAD17P2
31466	RBM22P1
42486	RNY3P2
2293	COX7CP1
